Address,Latitude,Longitude
"LIMA, LIMA, CHORRILLOS, AVENIDA AV. DEFENSORES DEL MORRO (EX HUAYLAS) Nº556 AV. DEFENSORES DEL MORRO (EX HUAYLAS) Nº556 CHORRILLOS LIMA LIMA ",-12.1693662,-77.0244343
"LIMA, LIMA, CHORRILLOS, AVENIDA AV.GUARDIA PERUANA CUADRA 8 S/N CHORRILLOS NÚMERO S/N DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.1800722,-77.0027436
"LIMA, LIMA, SANTIAGO DE SURCO, JIRÓN DANIEL CORNEJO 182 SANTIAGO DE SURCO LIMA LIMA ",-12.1474049,-77.0061851
"LIMA, LIMA, SANTIAGO DE SURCO, JIRÓN MARISCAL SANTA CRUZ S/N AAHH SAN CARLOS S/N JR. MARISCAL SANTA CRUZ S/N AAHH SAN CARLOS SANTIAGO DE SURCO LIMA LIMA ",-12.1445185,-77.02243729999999
"LIMA, LIMA, SANTIAGO DE SURCO, ESTEBAN CAMERE 378 - URB SAN ROQUE SN SANTIAGO DE SURCO LIMA LIMA ",-12.1491478,-76.9889134
"LIMA, LIMA, SANTIAGO DE SURCO, MZ F LOTE 12 AAHH VIÑEDOS DE SURCO MZ F LOTE 12 AAHH VIÑEDOS DE SURCO SANTIAGO DE SURCO LIMA LIMA ",-12.0982554,-76.9625544
"LIMA, LIMA, SANTIAGO DE SURCO, CALLE FERREÑAFE 220 - 2DA CUADRA EL POLO URB. LAS FLORES - MONTERRICO SANTIAGO DE SURCO LIMA LIMA ",-12.0923402,-76.977334
"LIMA, LIMA, SANTIAGO DE SURCO, CALLE LOS HERRERILLOS MZA F LTE 1 S/N - LAS DUNAS S/N CALLE LOS HERRERILLOS MZA F LTE 1 S/N - LAS DUNAS SANTIAGO DE SURCO LIMA LIMA ",-12.0954735,-77.01581259999999
"LIMA, LIMA, SANTIAGO DE SURCO, AVENIDA AV. LOS PROCERES  440/ MANUEL PERES TUDELA BLOCK ""D"" ""B"" DISTRITO SANTIAGO DE SURCO PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.1507109,-76.988567
"LIMA, LIMA, SURCO, JIRÓN DANIEL CORNEJO 182 SANTIAGO DE SURCO LIMA LIMA ",-12.1474049,-77.0061851
"LIMA, LIMA, SANTIAGO DE SURCO, JIRÓN EL POLO 570 MONTERRICO-SANTIAGO DE SURCO DISTRITO SANTIAGO DE SURCO PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.0923402,-76.977334
