Año,Semana,Eventos o daños,Departamento,Distrito,Provincia,Ubigeo,Casos
2020,35,Dengue,LORETO,INAHUAYA,UCAYALI,160602,0
2020,36,Dengue,LORETO,TIGRE,LORETO,160303,0
2020,36,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,36,Dengue,LORETO,ALTO NANAY,MAYNAS,160102,0
2020,36,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,36,Dengue,LORETO,YAQUERANA,REQUENA,160511,0
2020,36,Dengue,LORETO,EMILIO SAN MARTIN,REQUENA,160504,0
2020,36,Dengue,LORETO,INAHUAYA,UCAYALI,160602,0
2020,37,Dengue,LORETO,TIGRE,LORETO,160303,0
2020,37,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,37,Dengue,LORETO,ALTO NANAY,MAYNAS,160102,0
2020,37,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,37,Dengue,LORETO,NAPO,MAYNAS,160107,0
2020,37,Dengue,LORETO,YAQUERANA,REQUENA,160511,0
2020,37,Dengue,LORETO,EMILIO SAN MARTIN,REQUENA,160504,0
2020,37,Dengue,LORETO,INAHUAYA,UCAYALI,160602,0
2020,38,Dengue,LORETO,TIGRE,LORETO,160303,0
2020,38,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,38,Dengue,LORETO,ALTO NANAY,MAYNAS,160102,0
2020,38,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,38,Dengue,LORETO,NAPO,MAYNAS,160107,0
2020,38,Dengue,LORETO,YAQUERANA,REQUENA,160511,0
2020,38,Dengue,LORETO,EMILIO SAN MARTIN,REQUENA,160504,0
2020,38,Dengue,LORETO,INAHUAYA,UCAYALI,160602,0
2020,39,Dengue,LORETO,TIGRE,LORETO,160303,0
2020,39,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,39,Dengue,LORETO,ALTO NANAY,MAYNAS,160102,0
2020,39,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,39,Dengue,LORETO,NAPO,MAYNAS,160107,0
2020,39,Dengue,LORETO,YAQUERANA,REQUENA,160511,0
2020,39,Dengue,LORETO,EMILIO SAN MARTIN,REQUENA,160504,0
2020,39,Dengue,LORETO,INAHUAYA,UCAYALI,160602,0
2020,40,Dengue,LORETO,TIGRE,LORETO,160303,0
2020,40,Dengue,LORETO,ALTO NANAY,MAYNAS,160102,0
2020,40,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,40,Dengue,LORETO,YAQUERANA,REQUENA,160511,0
2020,40,Dengue,LORETO,EMILIO SAN MARTIN,REQUENA,160504,0
2020,40,Dengue,LORETO,INAHUAYA,UCAYALI,160602,0
2020,41,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,41,Dengue,LORETO,ALTO NANAY,MAYNAS,160102,0
2020,41,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,41,Dengue,LORETO,YAQUERANA,REQUENA,160511,0
2020,41,Dengue,LORETO,EMILIO SAN MARTIN,REQUENA,160504,0
2020,41,Dengue,LORETO,INAHUAYA,UCAYALI,160602,0
2020,42,Dengue,LORETO,TIGRE,LORETO,160303,0
2020,42,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,42,Dengue,LORETO,ALTO NANAY,MAYNAS,160102,0
2020,42,Dengue,LORETO,YAQUERANA,REQUENA,160511,0
2020,42,Dengue,LORETO,EMILIO SAN MARTIN,REQUENA,160504,0
2020,43,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,43,Dengue,LORETO,ALTO NANAY,MAYNAS,160102,0
2020,43,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,43,Dengue,LORETO,NAPO,MAYNAS,160107,0
2020,44,Dengue,LORETO,TIGRE,LORETO,160303,0
2020,44,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,44,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,44,Dengue,LORETO,NAPO,MAYNAS,160107,0
2020,45,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,45,Dengue,LORETO,ALTO NANAY,MAYNAS,160102,0
2020,45,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,45,Dengue,LORETO,TENIENTE MANUEL CLAVERO,PUTUMAYO,160803,0
2020,46,Dengue,LORETO,ANDOAS,DATEM DEL MARAÑON,160706,0
2020,46,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,46,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,46,Dengue,LORETO,NAPO,MAYNAS,160107,0
2020,46,Dengue,LORETO,TENIENTE MANUEL CLAVERO,PUTUMAYO,160803,0
2020,47,Dengue,LORETO,ANDOAS,DATEM DEL MARAÑON,160706,0
2020,47,Dengue,LORETO,URARINAS,LORETO,160305,0
2020,47,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,47,Dengue,LORETO,LAS AMAZONAS,MAYNAS,160105,0
2020,47,Dengue,LORETO,NAPO,MAYNAS,160107,0
