,idx,travel_time_best_guess,travel_time_pessimistic,travel_time_optimistic,travel_distance_best_guess,travel_distance_pessimistic,travel_distance_optimistic
655,655.0,2374.0,2524.0,2240.0,13.4,13.4,13.4
656,656.0,2357.0,2476.0,2251.0,13.6,13.6,13.6
657,657.0,2012.0,2116.0,1901.0,12.0,12.0,12.0
658,658.0,2706.0,2880.0,2542.0,14.0,14.0,14.0
659,659.0,2805.0,2993.0,2643.0,14.4,14.4,14.4
660,660.0,2264.0,2389.0,2137.0,13.2,13.2,13.2
661,661.0,2505.0,2673.0,2357.0,13.6,13.6,13.6
662,662.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
663,663.0,2620.0,2867.0,2458.0,14.1,14.1,14.1
664,664.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
665,665.0,2462.0,2616.0,2329.0,13.7,13.7,13.7
666,666.0,2191.0,2318.0,2074.0,12.8,12.8,12.8
667,667.0,2756.0,3116.0,2502.0,15.8,15.8,15.8
668,668.0,2169.0,2320.0,2059.0,12.7,12.7,12.7
669,669.0,2793.0,2968.0,2632.0,14.5,14.5,14.5
670,670.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
671,671.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
672,672.0,2477.0,2680.0,2267.0,14.3,14.3,14.3
673,673.0,2823.0,2988.0,2664.0,14.6,14.6,14.6
674,674.0,2436.0,2631.0,2288.0,13.5,13.5,13.5
675,675.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
676,676.0,2276.0,2426.0,2144.0,13.4,13.4,13.4
677,677.0,2570.0,2819.0,2413.0,14.0,14.0,14.0
678,678.0,2293.0,2420.0,2175.0,13.1,13.1,13.1
679,679.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
680,680.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
681,681.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
682,682.0,3048.0,3238.0,2869.0,15.6,15.6,15.6
683,683.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
684,684.0,2444.0,2626.0,2296.0,13.5,13.5,13.5
685,685.0,2474.0,2680.0,2262.0,14.3,14.3,14.3
686,686.0,2579.0,2815.0,2369.0,14.7,14.7,14.7
687,687.0,2702.0,2866.0,2540.0,14.0,14.0,14.0
688,688.0,2206.0,2367.0,2093.0,12.9,12.9,12.9
