ORGANIZACIONES POLÍTICAS,TOTAL,%VÁLIDOS,%EMITIDOS,DEPARTAMENTO,PROVINCIA,DISTRITO
PARTIDO MORADO,4,1.695%,1.227%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
VICTORIA NACIONAL,18,7.627%,5.521%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
ACCION POPULAR,63,26.695%,19.325%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,16,6.780%,4.908%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
PODEMOS PERU,1,0.424%,0.307%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
JUNTOS POR EL PERU,18,7.627%,5.521%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
FUERZA POPULAR,12,5.085%,3.681%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
UNION POR EL PERU,2,0.847%,0.613%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
RENOVACION POPULAR,7,2.966%,2.147%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
RENACIMIENTO UNIDO NACIONAL,1,0.424%,0.307%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
PARTIDO DEMOCRATICO SOMOS PERU,11,4.661%,3.374%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
PARTIDO POLITICO NACIONAL PERU LIBRE,10,4.237%,3.067%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
ALIANZA PARA EL PROGRESO,19,8.051%,5.828%,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
PARTIDO NACIONALISTA PERUANO,1519,16.066%,11.360%,AMAZONAS,UTCUBAMBA,CUMBA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",146,1.544%,1.092%,AMAZONAS,UTCUBAMBA,CUMBA
PARTIDO MORADO,74,0.783%,0.553%,AMAZONAS,UTCUBAMBA,CUMBA
PERU PATRIA SEGURA,18,0.190%,0.135%,AMAZONAS,UTCUBAMBA,CUMBA
VICTORIA NACIONAL,115,1.216%,0.860%,AMAZONAS,UTCUBAMBA,CUMBA
ACCION POPULAR,569,6.018%,4.255%,AMAZONAS,UTCUBAMBA,CUMBA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,132,1.396%,0.987%,AMAZONAS,UTCUBAMBA,CUMBA
PODEMOS PERU,106,1.121%,0.793%,AMAZONAS,UTCUBAMBA,CUMBA
JUNTOS POR EL PERU,476,5.034%,3.560%,AMAZONAS,UTCUBAMBA,CUMBA
PARTIDO POPULAR CRISTIANO - PPC,40,0.423%,0.299%,AMAZONAS,UTCUBAMBA,CUMBA
FUERZA POPULAR,1268,13.411%,9.483%,AMAZONAS,UTCUBAMBA,CUMBA
UNION POR EL PERU,97,1.026%,0.725%,AMAZONAS,UTCUBAMBA,CUMBA
RENOVACION POPULAR,504,5.331%,3.769%,AMAZONAS,UTCUBAMBA,CUMBA
RENACIMIENTO UNIDO NACIONAL,66,0.698%,0.494%,AMAZONAS,UTCUBAMBA,CUMBA
PARTIDO DEMOCRATICO SOMOS PERU,63,0.666%,0.471%,AMAZONAS,UTCUBAMBA,CUMBA
PARTIDO POLITICO NACIONAL PERU LIBRE,3366,35.600%,25.174%,AMAZONAS,UTCUBAMBA,CUMBA
DEMOCRACIA DIRECTA,5,0.053%,0.037%,AMAZONAS,UTCUBAMBA,CUMBA
ALIANZA PARA EL PROGRESO,891,9.424%,6.664%,AMAZONAS,UTCUBAMBA,CUMBA
PARTIDO NACIONALISTA PERUANO,1519,16.066%,11.360%,AMAZONAS,UTCUBAMBA,EL MILAGRO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",146,1.544%,1.092%,AMAZONAS,UTCUBAMBA,EL MILAGRO
PARTIDO MORADO,74,0.783%,0.553%,AMAZONAS,UTCUBAMBA,EL MILAGRO
PERU PATRIA SEGURA,18,0.190%,0.135%,AMAZONAS,UTCUBAMBA,EL MILAGRO
VICTORIA NACIONAL,115,1.216%,0.860%,AMAZONAS,UTCUBAMBA,EL MILAGRO
ACCION POPULAR,569,6.018%,4.255%,AMAZONAS,UTCUBAMBA,EL MILAGRO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,132,1.396%,0.987%,AMAZONAS,UTCUBAMBA,EL MILAGRO
PODEMOS PERU,106,1.121%,0.793%,AMAZONAS,UTCUBAMBA,EL MILAGRO
JUNTOS POR EL PERU,476,5.034%,3.560%,AMAZONAS,UTCUBAMBA,EL MILAGRO
PARTIDO POPULAR CRISTIANO - PPC,40,0.423%,0.299%,AMAZONAS,UTCUBAMBA,EL MILAGRO
FUERZA POPULAR,1268,13.411%,9.483%,AMAZONAS,UTCUBAMBA,EL MILAGRO
UNION POR EL PERU,97,1.026%,0.725%,AMAZONAS,UTCUBAMBA,EL MILAGRO
RENOVACION POPULAR,504,5.331%,3.769%,AMAZONAS,UTCUBAMBA,EL MILAGRO
RENACIMIENTO UNIDO NACIONAL,66,0.698%,0.494%,AMAZONAS,UTCUBAMBA,EL MILAGRO
PARTIDO DEMOCRATICO SOMOS PERU,63,0.666%,0.471%,AMAZONAS,UTCUBAMBA,EL MILAGRO
PARTIDO POLITICO NACIONAL PERU LIBRE,3366,35.600%,25.174%,AMAZONAS,UTCUBAMBA,EL MILAGRO
DEMOCRACIA DIRECTA,5,0.053%,0.037%,AMAZONAS,UTCUBAMBA,EL MILAGRO
ALIANZA PARA EL PROGRESO,891,9.424%,6.664%,AMAZONAS,UTCUBAMBA,EL MILAGRO
PARTIDO NACIONALISTA PERUANO,273,9.401%,6.094%,AMAZONAS,UTCUBAMBA,JAMALCA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",13,0.448%,0.290%,AMAZONAS,UTCUBAMBA,JAMALCA
PARTIDO MORADO,36,1.240%,0.804%,AMAZONAS,UTCUBAMBA,JAMALCA
PERU PATRIA SEGURA,2,0.069%,0.045%,AMAZONAS,UTCUBAMBA,JAMALCA
VICTORIA NACIONAL,96,3.306%,2.143%,AMAZONAS,UTCUBAMBA,JAMALCA
ACCION POPULAR,373,12.844%,8.326%,AMAZONAS,UTCUBAMBA,JAMALCA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,78,2.686%,1.741%,AMAZONAS,UTCUBAMBA,JAMALCA
PODEMOS PERU,63,2.169%,1.406%,AMAZONAS,UTCUBAMBA,JAMALCA
JUNTOS POR EL PERU,133,4.580%,2.969%,AMAZONAS,UTCUBAMBA,JAMALCA
PARTIDO POPULAR CRISTIANO - PPC,2,0.069%,0.045%,AMAZONAS,UTCUBAMBA,JAMALCA
FUERZA POPULAR,576,19.835%,12.857%,AMAZONAS,UTCUBAMBA,JAMALCA
UNION POR EL PERU,47,1.618%,1.049%,AMAZONAS,UTCUBAMBA,JAMALCA
RENOVACION POPULAR,196,6.749%,4.375%,AMAZONAS,UTCUBAMBA,JAMALCA
RENACIMIENTO UNIDO NACIONAL,18,0.620%,0.402%,AMAZONAS,UTCUBAMBA,JAMALCA
PARTIDO DEMOCRATICO SOMOS PERU,43,1.481%,0.960%,AMAZONAS,UTCUBAMBA,JAMALCA
PARTIDO POLITICO NACIONAL PERU LIBRE,709,24.415%,15.826%,AMAZONAS,UTCUBAMBA,JAMALCA
DEMOCRACIA DIRECTA,9,0.310%,0.201%,AMAZONAS,UTCUBAMBA,JAMALCA
ALIANZA PARA EL PROGRESO,237,8.161%,5.290%,AMAZONAS,UTCUBAMBA,JAMALCA
PARTIDO NACIONALISTA PERUANO,232,12.466%,8.109%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",8,0.430%,0.280%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
PARTIDO MORADO,18,0.967%,0.629%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
PERU PATRIA SEGURA,3,0.161%,0.105%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
VICTORIA NACIONAL,72,3.869%,2.517%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
ACCION POPULAR,134,7.200%,4.684%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,21,1.128%,0.734%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
PODEMOS PERU,59,3.170%,2.062%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
JUNTOS POR EL PERU,55,2.955%,1.922%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
PARTIDO POPULAR CRISTIANO - PPC,6,0.322%,0.210%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
FUERZA POPULAR,475,25.524%,16.603%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
UNION POR EL PERU,46,2.472%,1.608%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
RENOVACION POPULAR,110,5.911%,3.845%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
RENACIMIENTO UNIDO NACIONAL,8,0.430%,0.280%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
PARTIDO DEMOCRATICO SOMOS PERU,17,0.913%,0.594%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
PARTIDO POLITICO NACIONAL PERU LIBRE,419,22.515%,14.645%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
DEMOCRACIA DIRECTA,5,0.269%,0.175%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
ALIANZA PARA EL PROGRESO,173,9.296%,6.047%,AMAZONAS,UTCUBAMBA,LONYA GRANDE
PARTIDO NACIONALISTA PERUANO,148,6.360%,4.343%,AMAZONAS,UTCUBAMBA,YAMON
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",16,0.688%,0.469%,AMAZONAS,UTCUBAMBA,YAMON
PARTIDO MORADO,28,1.203%,0.822%,AMAZONAS,UTCUBAMBA,YAMON
PERU PATRIA SEGURA,5,0.215%,0.147%,AMAZONAS,UTCUBAMBA,YAMON
VICTORIA NACIONAL,43,1.848%,1.262%,AMAZONAS,UTCUBAMBA,YAMON
ACCION POPULAR,194,8.337%,5.692%,AMAZONAS,UTCUBAMBA,YAMON
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,47,2.020%,1.379%,AMAZONAS,UTCUBAMBA,YAMON
PODEMOS PERU,35,1.504%,1.027%,AMAZONAS,UTCUBAMBA,YAMON
JUNTOS POR EL PERU,136,5.844%,3.991%,AMAZONAS,UTCUBAMBA,YAMON
PARTIDO POPULAR CRISTIANO - PPC,2,0.086%,0.059%,AMAZONAS,UTCUBAMBA,YAMON
FUERZA POPULAR,322,13.838%,9.448%,AMAZONAS,UTCUBAMBA,YAMON
UNION POR EL PERU,212,9.110%,6.221%,AMAZONAS,UTCUBAMBA,YAMON
RENOVACION POPULAR,68,2.922%,1.995%,AMAZONAS,UTCUBAMBA,YAMON
RENACIMIENTO UNIDO NACIONAL,9,0.387%,0.264%,AMAZONAS,UTCUBAMBA,YAMON
PARTIDO DEMOCRATICO SOMOS PERU,23,0.988%,0.675%,AMAZONAS,UTCUBAMBA,YAMON
PARTIDO POLITICO NACIONAL PERU LIBRE,862,37.043%,25.293%,AMAZONAS,UTCUBAMBA,YAMON
DEMOCRACIA DIRECTA,2,0.086%,0.059%,AMAZONAS,UTCUBAMBA,YAMON
ALIANZA PARA EL PROGRESO,175,7.520%,5.135%,AMAZONAS,UTCUBAMBA,YAMON
PARTIDO NACIONALISTA PERUANO,7,0.894%,0.741%,ANCASH,AIJA,SUCCHA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",4,0.511%,0.423%,ANCASH,AIJA,SUCCHA
PARTIDO MORADO,23,2.937%,2.434%,ANCASH,AIJA,SUCCHA
PERU PATRIA SEGURA,2,0.255%,0.212%,ANCASH,AIJA,SUCCHA
VICTORIA NACIONAL,36,4.598%,3.810%,ANCASH,AIJA,SUCCHA
ACCION POPULAR,86,10.983%,9.101%,ANCASH,AIJA,SUCCHA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,21,2.682%,2.222%,ANCASH,AIJA,SUCCHA
PODEMOS PERU,15,1.916%,1.587%,ANCASH,AIJA,SUCCHA
JUNTOS POR EL PERU,126,16.092%,13.333%,ANCASH,AIJA,SUCCHA
PARTIDO POPULAR CRISTIANO - PPC,3,0.383%,0.317%,ANCASH,AIJA,SUCCHA
FUERZA POPULAR,102,13.027%,10.794%,ANCASH,AIJA,SUCCHA
UNION POR EL PERU,6,0.766%,0.635%,ANCASH,AIJA,SUCCHA
RENOVACION POPULAR,20,2.554%,2.116%,ANCASH,AIJA,SUCCHA
RENACIMIENTO UNIDO NACIONAL,2,0.255%,0.212%,ANCASH,AIJA,SUCCHA
PARTIDO DEMOCRATICO SOMOS PERU,8,1.022%,0.847%,ANCASH,AIJA,SUCCHA
PARTIDO POLITICO NACIONAL PERU LIBRE,291,37.165%,30.794%,ANCASH,AIJA,SUCCHA
DEMOCRACIA DIRECTA,4,0.511%,0.423%,ANCASH,AIJA,SUCCHA
ALIANZA PARA EL PROGRESO,27,3.448%,2.857%,ANCASH,AIJA,SUCCHA
PARTIDO NACIONALISTA PERUANO,24,3.550%,2.578%,ANCASH,ANTONIO RAIMONDI,MIRGAS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",3,0.444%,0.322%,ANCASH,ANTONIO RAIMONDI,MIRGAS
PARTIDO MORADO,4,0.592%,0.430%,ANCASH,ANTONIO RAIMONDI,MIRGAS
PERU PATRIA SEGURA,2,0.296%,0.215%,ANCASH,ANTONIO RAIMONDI,MIRGAS
VICTORIA NACIONAL,12,1.775%,1.289%,ANCASH,ANTONIO RAIMONDI,MIRGAS
ACCION POPULAR,82,12.130%,8.808%,ANCASH,ANTONIO RAIMONDI,MIRGAS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,11,1.627%,1.182%,ANCASH,ANTONIO RAIMONDI,MIRGAS
PODEMOS PERU,9,1.331%,0.967%,ANCASH,ANTONIO RAIMONDI,MIRGAS
JUNTOS POR EL PERU,141,20.858%,15.145%,ANCASH,ANTONIO RAIMONDI,MIRGAS
PARTIDO POPULAR CRISTIANO - PPC,3,0.444%,0.322%,ANCASH,ANTONIO RAIMONDI,MIRGAS
FUERZA POPULAR,42,6.213%,4.511%,ANCASH,ANTONIO RAIMONDI,MIRGAS
UNION POR EL PERU,7,1.036%,0.752%,ANCASH,ANTONIO RAIMONDI,MIRGAS
RENOVACION POPULAR,43,6.361%,4.619%,ANCASH,ANTONIO RAIMONDI,MIRGAS
RENACIMIENTO UNIDO NACIONAL,4,0.592%,0.430%,ANCASH,ANTONIO RAIMONDI,MIRGAS
PARTIDO DEMOCRATICO SOMOS PERU,36,5.325%,3.867%,ANCASH,ANTONIO RAIMONDI,MIRGAS
PARTIDO POLITICO NACIONAL PERU LIBRE,237,35.059%,25.456%,ANCASH,ANTONIO RAIMONDI,MIRGAS
DEMOCRACIA DIRECTA,2,0.296%,0.215%,ANCASH,ANTONIO RAIMONDI,MIRGAS
ALIANZA PARA EL PROGRESO,14,2.071%,1.504%,ANCASH,ANTONIO RAIMONDI,MIRGAS
PARTIDO NACIONALISTA PERUANO,14,1.102%,0.719%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",10,0.787%,0.514%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
PARTIDO MORADO,8,0.630%,0.411%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
PERU PATRIA SEGURA,6,0.472%,0.308%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
VICTORIA NACIONAL,14,1.102%,0.719%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
ACCION POPULAR,132,10.394%,6.780%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,18,1.417%,0.924%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
PODEMOS PERU,19,1.496%,0.976%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
JUNTOS POR EL PERU,242,19.055%,12.429%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
PARTIDO POPULAR CRISTIANO - PPC,5,0.394%,0.257%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
FUERZA POPULAR,59,4.646%,3.030%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
UNION POR EL PERU,12,0.945%,0.616%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
RENOVACION POPULAR,34,2.677%,1.746%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
RENACIMIENTO UNIDO NACIONAL,8,0.630%,0.411%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
PARTIDO DEMOCRATICO SOMOS PERU,85,6.693%,4.366%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
PARTIDO POLITICO NACIONAL PERU LIBRE,577,45.433%,29.635%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
DEMOCRACIA DIRECTA,1,0.079%,0.051%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
ALIANZA PARA EL PROGRESO,26,2.047%,1.335%,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
PARTIDO NACIONALISTA PERUANO,18,2.133%,1.549%,ANCASH,BOLOGNESI,CHIQUIAN
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",12,1.422%,1.033%,ANCASH,BOLOGNESI,CHIQUIAN
PARTIDO MORADO,11,1.303%,0.947%,ANCASH,BOLOGNESI,CHIQUIAN
PERU PATRIA SEGURA,2,0.237%,0.172%,ANCASH,BOLOGNESI,CHIQUIAN
VICTORIA NACIONAL,26,3.081%,2.238%,ANCASH,BOLOGNESI,CHIQUIAN
ACCION POPULAR,75,8.886%,6.454%,ANCASH,BOLOGNESI,CHIQUIAN
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,48,5.687%,4.131%,ANCASH,BOLOGNESI,CHIQUIAN
PODEMOS PERU,41,4.858%,3.528%,ANCASH,BOLOGNESI,CHIQUIAN
JUNTOS POR EL PERU,75,8.886%,6.454%,ANCASH,BOLOGNESI,CHIQUIAN
PARTIDO POPULAR CRISTIANO - PPC,3,0.355%,0.258%,ANCASH,BOLOGNESI,CHIQUIAN
FUERZA POPULAR,164,19.431%,14.114%,ANCASH,BOLOGNESI,CHIQUIAN
UNION POR EL PERU,8,0.948%,0.688%,ANCASH,BOLOGNESI,CHIQUIAN
RENOVACION POPULAR,50,5.924%,4.303%,ANCASH,BOLOGNESI,CHIQUIAN
RENACIMIENTO UNIDO NACIONAL,3,0.355%,0.258%,ANCASH,BOLOGNESI,CHIQUIAN
PARTIDO DEMOCRATICO SOMOS PERU,18,2.133%,1.549%,ANCASH,BOLOGNESI,CHIQUIAN
PARTIDO POLITICO NACIONAL PERU LIBRE,263,31.161%,22.633%,ANCASH,BOLOGNESI,CHIQUIAN
DEMOCRACIA DIRECTA,2,0.237%,0.172%,ANCASH,BOLOGNESI,CHIQUIAN
ALIANZA PARA EL PROGRESO,25,2.962%,2.151%,ANCASH,BOLOGNESI,CHIQUIAN
PARTIDO NACIONALISTA PERUANO,5,4.673%,4.032%,ANCASH,BOLOGNESI,COLQUIOC
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0,0.000%,0.000%,ANCASH,BOLOGNESI,COLQUIOC
PARTIDO MORADO,0,0.000%,0.000%,ANCASH,BOLOGNESI,COLQUIOC
PERU PATRIA SEGURA,0,0.000%,0.000%,ANCASH,BOLOGNESI,COLQUIOC
VICTORIA NACIONAL,4,3.738%,3.226%,ANCASH,BOLOGNESI,COLQUIOC
ACCION POPULAR,24,22.430%,19.355%,ANCASH,BOLOGNESI,COLQUIOC
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,3,2.804%,2.419%,ANCASH,BOLOGNESI,COLQUIOC
PODEMOS PERU,3,2.804%,2.419%,ANCASH,BOLOGNESI,COLQUIOC
JUNTOS POR EL PERU,42,39.252%,33.871%,ANCASH,BOLOGNESI,COLQUIOC
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,ANCASH,BOLOGNESI,COLQUIOC
FUERZA POPULAR,8,7.477%,6.452%,ANCASH,BOLOGNESI,COLQUIOC
UNION POR EL PERU,0,0.000%,0.000%,ANCASH,BOLOGNESI,COLQUIOC
RENOVACION POPULAR,3,2.804%,2.419%,ANCASH,BOLOGNESI,COLQUIOC
RENACIMIENTO UNIDO NACIONAL,1,0.935%,0.806%,ANCASH,BOLOGNESI,COLQUIOC
PARTIDO DEMOCRATICO SOMOS PERU,1,0.935%,0.806%,ANCASH,BOLOGNESI,COLQUIOC
PARTIDO POLITICO NACIONAL PERU LIBRE,11,10.280%,8.871%,ANCASH,BOLOGNESI,COLQUIOC
DEMOCRACIA DIRECTA,0,0.000%,0.000%,ANCASH,BOLOGNESI,COLQUIOC
ALIANZA PARA EL PROGRESO,2,1.869%,1.613%,ANCASH,BOLOGNESI,COLQUIOC
PARTIDO NACIONALISTA PERUANO,47,3.379%,2.617%,ANCASH,BOLOGNESI,HUALLANCA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",13,0.935%,0.724%,ANCASH,BOLOGNESI,HUALLANCA
PARTIDO MORADO,34,2.444%,1.893%,ANCASH,BOLOGNESI,HUALLANCA
PERU PATRIA SEGURA,2,0.144%,0.111%,ANCASH,BOLOGNESI,HUALLANCA
VICTORIA NACIONAL,51,3.666%,2.840%,ANCASH,BOLOGNESI,HUALLANCA
ACCION POPULAR,124,8.914%,6.904%,ANCASH,BOLOGNESI,HUALLANCA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,74,5.320%,4.120%,ANCASH,BOLOGNESI,HUALLANCA
PODEMOS PERU,30,2.157%,1.670%,ANCASH,BOLOGNESI,HUALLANCA
JUNTOS POR EL PERU,216,15.528%,12.027%,ANCASH,BOLOGNESI,HUALLANCA
PARTIDO POPULAR CRISTIANO - PPC,6,0.431%,0.334%,ANCASH,BOLOGNESI,HUALLANCA
FUERZA POPULAR,121,8.699%,6.737%,ANCASH,BOLOGNESI,HUALLANCA
UNION POR EL PERU,2,0.144%,0.111%,ANCASH,BOLOGNESI,HUALLANCA
RENOVACION POPULAR,76,5.464%,4.232%,ANCASH,BOLOGNESI,HUALLANCA
RENACIMIENTO UNIDO NACIONAL,10,0.719%,0.557%,ANCASH,BOLOGNESI,HUALLANCA
PARTIDO DEMOCRATICO SOMOS PERU,30,2.157%,1.670%,ANCASH,BOLOGNESI,HUALLANCA
PARTIDO POLITICO NACIONAL PERU LIBRE,497,35.730%,27.673%,ANCASH,BOLOGNESI,HUALLANCA
DEMOCRACIA DIRECTA,2,0.144%,0.111%,ANCASH,BOLOGNESI,HUALLANCA
ALIANZA PARA EL PROGRESO,56,4.026%,3.118%,ANCASH,BOLOGNESI,HUALLANCA
PARTIDO NACIONALISTA PERUANO,11,1.207%,0.986%,ANCASH,BOLOGNESI,HUASTA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",6,0.659%,0.538%,ANCASH,BOLOGNESI,HUASTA
PARTIDO MORADO,15,1.647%,1.344%,ANCASH,BOLOGNESI,HUASTA
PERU PATRIA SEGURA,4,0.439%,0.358%,ANCASH,BOLOGNESI,HUASTA
VICTORIA NACIONAL,36,3.952%,3.226%,ANCASH,BOLOGNESI,HUASTA
ACCION POPULAR,58,6.367%,5.197%,ANCASH,BOLOGNESI,HUASTA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,88,9.660%,7.885%,ANCASH,BOLOGNESI,HUASTA
PODEMOS PERU,39,4.281%,3.495%,ANCASH,BOLOGNESI,HUASTA
JUNTOS POR EL PERU,84,9.221%,7.527%,ANCASH,BOLOGNESI,HUASTA
PARTIDO POPULAR CRISTIANO - PPC,2,0.220%,0.179%,ANCASH,BOLOGNESI,HUASTA
FUERZA POPULAR,207,22.722%,18.548%,ANCASH,BOLOGNESI,HUASTA
UNION POR EL PERU,6,0.659%,0.538%,ANCASH,BOLOGNESI,HUASTA
RENOVACION POPULAR,118,12.953%,10.573%,ANCASH,BOLOGNESI,HUASTA
RENACIMIENTO UNIDO NACIONAL,1,0.110%,0.090%,ANCASH,BOLOGNESI,HUASTA
PARTIDO DEMOCRATICO SOMOS PERU,18,1.976%,1.613%,ANCASH,BOLOGNESI,HUASTA
PARTIDO POLITICO NACIONAL PERU LIBRE,184,20.198%,16.487%,ANCASH,BOLOGNESI,HUASTA
DEMOCRACIA DIRECTA,1,0.110%,0.090%,ANCASH,BOLOGNESI,HUASTA
ALIANZA PARA EL PROGRESO,33,3.622%,2.957%,ANCASH,BOLOGNESI,HUASTA
PARTIDO NACIONALISTA PERUANO,28,1.297%,0.912%,ANCASH,BOLOGNESI,HUAYLLACAYAN
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",10,0.463%,0.326%,ANCASH,BOLOGNESI,HUAYLLACAYAN
PARTIDO MORADO,18,0.834%,0.586%,ANCASH,BOLOGNESI,HUAYLLACAYAN
PERU PATRIA SEGURA,7,0.324%,0.228%,ANCASH,BOLOGNESI,HUAYLLACAYAN
VICTORIA NACIONAL,62,2.873%,2.020%,ANCASH,BOLOGNESI,HUAYLLACAYAN
ACCION POPULAR,188,8.712%,6.124%,ANCASH,BOLOGNESI,HUAYLLACAYAN
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,137,6.348%,4.463%,ANCASH,BOLOGNESI,HUAYLLACAYAN
PODEMOS PERU,64,2.966%,2.085%,ANCASH,BOLOGNESI,HUAYLLACAYAN
JUNTOS POR EL PERU,175,8.109%,5.700%,ANCASH,BOLOGNESI,HUAYLLACAYAN
PARTIDO POPULAR CRISTIANO - PPC,5,0.232%,0.163%,ANCASH,BOLOGNESI,HUAYLLACAYAN
FUERZA POPULAR,326,15.107%,10.619%,ANCASH,BOLOGNESI,HUAYLLACAYAN
UNION POR EL PERU,10,0.463%,0.326%,ANCASH,BOLOGNESI,HUAYLLACAYAN
RENOVACION POPULAR,118,5.468%,3.844%,ANCASH,BOLOGNESI,HUAYLLACAYAN
RENACIMIENTO UNIDO NACIONAL,6,0.278%,0.195%,ANCASH,BOLOGNESI,HUAYLLACAYAN
PARTIDO DEMOCRATICO SOMOS PERU,141,6.534%,4.593%,ANCASH,BOLOGNESI,HUAYLLACAYAN
PARTIDO POLITICO NACIONAL PERU LIBRE,767,35.542%,24.984%,ANCASH,BOLOGNESI,HUAYLLACAYAN
DEMOCRACIA DIRECTA,2,0.093%,0.065%,ANCASH,BOLOGNESI,HUAYLLACAYAN
ALIANZA PARA EL PROGRESO,94,4.356%,3.062%,ANCASH,BOLOGNESI,HUAYLLACAYAN
