ORGANIZACIONES POLÍTICAS,TOTAL,%VÁLIDOS,%EMITIDOS,DEPARTAMENTO,PROVINCIA,DISTRITO
PARTIDO DEMOCRATICO SOMOS PERU,7,1.902%,1.357%,AMAZONAS,BONGARA,JUMBILLA
PARTIDO POLITICO NACIONAL PERU LIBRE,101,27.446%,19.574%,AMAZONAS,BONGARA,JUMBILLA
DEMOCRACIA DIRECTA,1,0.272%,0.194%,AMAZONAS,BONGARA,JUMBILLA
ALIANZA PARA EL PROGRESO,15,4.076%,2.907%,AMAZONAS,BONGARA,JUMBILLA
PARTIDO NACIONALISTA PERUANO,6,4.000%,3.261%,AMAZONAS,BONGARA,RECTA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",5,3.333%,2.717%,AMAZONAS,BONGARA,RECTA
PARTIDO MORADO,5,3.333%,2.717%,AMAZONAS,BONGARA,RECTA
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,BONGARA,RECTA
VICTORIA NACIONAL,12,8.000%,6.522%,AMAZONAS,BONGARA,RECTA
ACCION POPULAR,24,16.000%,13.043%,AMAZONAS,BONGARA,RECTA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,5,3.333%,2.717%,AMAZONAS,BONGARA,RECTA
PODEMOS PERU,4,2.667%,2.174%,AMAZONAS,BONGARA,RECTA
JUNTOS POR EL PERU,22,14.667%,11.957%,AMAZONAS,BONGARA,RECTA
PARTIDO POPULAR CRISTIANO - PPC,1,0.667%,0.543%,AMAZONAS,BONGARA,RECTA
FUERZA POPULAR,20,13.333%,10.870%,AMAZONAS,BONGARA,RECTA
UNION POR EL PERU,4,2.667%,2.174%,AMAZONAS,BONGARA,RECTA
RENOVACION POPULAR,7,4.667%,3.804%,AMAZONAS,BONGARA,RECTA
RENACIMIENTO UNIDO NACIONAL,2,1.333%,1.087%,AMAZONAS,BONGARA,RECTA
PARTIDO DEMOCRATICO SOMOS PERU,3,2.000%,1.630%,AMAZONAS,BONGARA,RECTA
PARTIDO POLITICO NACIONAL PERU LIBRE,22,14.667%,11.957%,AMAZONAS,BONGARA,RECTA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,BONGARA,RECTA
ALIANZA PARA EL PROGRESO,8,5.333%,4.348%,AMAZONAS,BONGARA,RECTA
PARTIDO NACIONALISTA PERUANO,15,6.383%,4.673%,AMAZONAS,BONGARA,SAN CARLOS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0,0.000%,0.000%,AMAZONAS,BONGARA,SAN CARLOS
PARTIDO MORADO,5,2.128%,1.558%,AMAZONAS,BONGARA,SAN CARLOS
PERU PATRIA SEGURA,1,0.426%,0.312%,AMAZONAS,BONGARA,SAN CARLOS
VICTORIA NACIONAL,6,2.553%,1.869%,AMAZONAS,BONGARA,SAN CARLOS
ACCION POPULAR,22,9.362%,6.854%,AMAZONAS,BONGARA,SAN CARLOS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,7,2.979%,2.181%,AMAZONAS,BONGARA,SAN CARLOS
PODEMOS PERU,8,3.404%,2.492%,AMAZONAS,BONGARA,SAN CARLOS
JUNTOS POR EL PERU,18,7.660%,5.607%,AMAZONAS,BONGARA,SAN CARLOS
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,BONGARA,SAN CARLOS
FUERZA POPULAR,27,11.489%,8.411%,AMAZONAS,BONGARA,SAN CARLOS
UNION POR EL PERU,6,2.553%,1.869%,AMAZONAS,BONGARA,SAN CARLOS
RENOVACION POPULAR,19,8.085%,5.919%,AMAZONAS,BONGARA,SAN CARLOS
RENACIMIENTO UNIDO NACIONAL,2,0.851%,0.623%,AMAZONAS,BONGARA,SAN CARLOS
PARTIDO DEMOCRATICO SOMOS PERU,2,0.851%,0.623%,AMAZONAS,BONGARA,SAN CARLOS
PARTIDO POLITICO NACIONAL PERU LIBRE,62,26.383%,19.315%,AMAZONAS,BONGARA,SAN CARLOS
