nlat_ie,nlong_ie
-4.20578,-77.71666
-3.65568,-77.83105999999999
-3.9214,-77.75
-3.68346,-77.74508
-4.2217,-77.76499
-4.17918,-77.70726000000001
-4.22165,-77.78167000000001
-4.05056,-77.85175
-4.27931,-77.86095
-3.27096,-77.88088
-4.3589,-77.6956
-4.04772,-77.86206
-3.7835,-77.73399999999999
-3.5787,-78.09974
-3.20147,-77.81775
-3.76616,-78.06005
-4.09596,-77.7363
-4.01512,-77.75834999999999
-4.0177,-77.75879999999999
-4.0531,-77.76260000000001
-3.34092,-77.87900999999999
-3.7247,-77.7051
-4.24141,-77.72448
-3.94445,-77.7526
-6.139,-77.9508
-6.11939,-77.98067
-6.1427,-77.95146
-13.37375,-73.33978
-6.14378,-77.9542
-6.21899,-78.32325
-6.19127,-78.33065999999999
-6.18731,-78.35715
-6.20547,-78.30334000000001
-6.18289,-78.32482
-6.20638,-78.30280999999999
-6.18369,-78.35772
-6.18869,-78.32792999999999
-6.14413,-78.35077
-6.16198,-78.34218
-6.18295,-78.32402
-6.21882,-78.32357
-6.15949,-78.36167
-6.22887,-78.30085
-6.2172,-78.32196
-6.18446,-78.29764
-6.18958,-78.33234
-6.61506,-78.00479
-6.61118,-78.00427999999999
-6.65582,-78.00794
-6.62914,-78.01757000000001
-6.49037,-78.07221
-6.5615,-78.13122
-6.53722,-78.08620000000001
-6.50369,-78.07761000000001
-6.5731,-78.05319
-6.63038,-78.02924
-6.29929,-77.97365000000001
-6.2907,-77.96624
-6.31848,-77.96055
-6.34324,-77.95708
-6.301,-77.97727
-6.29789,-77.93774000000001
-6.31814,-77.96043
-6.33547,-77.95874999999999
-6.28066,-78.15582999999999
-6.25108,-77.99263000000001
-6.29789,-77.97716
-6.29039,-77.96774000000001
-6.18708,-78.01826
-6.15144,-78.15694999999999
-6.0861,-78.1782
-6.87918,-79.87365
-6.1514,-78.157
-6.20829,-78.00515
-6.21038,-78.01272
-6.1885,-77.9816
-6.2271,-78.00675
-6.18853,-78.00966
-6.2392,-77.9541
-6.23973,-77.95319000000001
-6.26038,-77.96339
-6.238,-77.9533
-6.39246,-77.98546
-6.39325,-77.98451
-6.41393,-77.96791
-6.41403,-77.96889
-6.2306,-77.9554
-6.2127,-77.98622
-6.24329,-78.13669
-6.2281,-77.9543
-6.2409,-78.15527
-6.23149,-77.95569999999999
-6.21219,-77.98577
-6.1636,-77.9447
-6.1667,-78.00660000000001
-6.154,-77.9802
-6.1817,-77.9838
-6.1537,-77.9802
-6.164,-77.9447
-6.1621,-77.98390000000001
-6.1706,-78.0283
-6.1816,-77.9834
-6.18137,-77.96819000000001
-6.16794,-77.96917000000001
-6.1592,-77.9442
-6.1636,-77.9435
-6.1663,-77.94459999999999
-6.1665,-78.00749999999999
-6.14291,-78.02822999999999
-6.1609,-78.03189999999999
-6.14259,-78.0278
-6.1609,-78.0313
-6.43067,-77.96402999999999
-6.42387,-77.94183
-6.45334,-77.93424
-6.43022,-77.96361
-6.8923,-79.56377000000001
-6.43218,-77.96136
-6.23474,-78.26885
-6.20859,-78.28721
-6.24493,-78.24051
-6.25288,-78.21512
-6.26711,-78.27602
-6.25175,-78.21567
-6.2349,-78.26844
-6.21039,-78.28607
-6.24719,-78.23535
-6.26451,-78.17318
-6.19308,-78.28793
-6.26501,-78.18776
-6.21299,-78.27524
-6.23379,-78.26757000000001
-6.20819,-78.28751
-6.27773,-78.16664
-6.2964,-78.21765000000001
-6.3096,-78.1216
-6.28828,-78.15725999999999
-6.28491,-78.21827
-6.28231,-78.20833
-6.30969,-78.12184000000001
-6.27697,-78.1674
-6.29523,-78.21798
-6.29839,-78.2393
-6.32124,-78.10929
-6.27605,-78.19241
-6.28828,-78.15725999999999
-6.30588,-78.11147
-6.31387,-78.22072
-6.28706,-78.14713999999999
-6.29788,-78.15149
-6.31701,-78.14095
-6.28158,-78.16365
-6.30269,-78.13023
-6.27693,-78.16815
-6.29689,-78.21735
-6.44859,-78.09293
-6.33373,-78.20820000000001
-6.35106,-78.20041000000001
-6.37469,-78.14279999999999
-6.40632,-78.10258
-6.50291,-78.14939
-6.41778,-78.17674
-6.41965,-78.11651999999999
-6.39433,-78.11045
-6.4491,-78.09273
-6.35153,-78.20050000000001
-6.33336,-78.2069
-6.37485,-78.14239999999999
-6.40032,-78.1279
-6.40567,-78.10307
-6.38215,-78.22042
-6.34776,-78.27721
-6.389,-78.14687000000001
-6.38356,-78.13238
-6.41853,-78.09811999999999
-6.39452,-78.18949000000001
-6.34621,-78.21226
-6.33462,-78.17608
-6.35443,-78.22378
-6.37672,-78.13036
-6.33224,-78.19842
-6.39332,-78.11839999999999
-6.3775,-78.08372
-6.36129,-78.24420000000001
-6.37926,-78.15192
-6.37809,-78.11145999999999
-6.41716,-78.11293000000001
-6.4056,-78.14985
-6.33259,-78.20654
-6.45273,-78.09147
-6.3061,-78.22611999999999
-6.29242,-78.24378
-6.29811,-78.23958
-6.31701,-78.31007
-6.29631,-78.29734000000001
-6.29034,-78.25873
-6.29259,-78.24453
-6.31864,-78.28203000000001
-6.31086,-78.29528999999999
-6.33244,-78.16240000000001
-6.2985,-78.23855
-6.70411,-79.90621
-6.0981,-77.9618
-6.10227,-77.96311
-6.07269,-77.94216
-5.91846,-80.18523
-6.65699,-77.83157
-6.65069,-77.80974999999999
-6.69425,-77.80803
-6.05915,-77.97436
-6.0601,-77.9744
-5.9483,-78.08839999999999
-6.0439,-77.9858
-6.50974,-77.87708000000001
-6.49868,-77.86247
-6.5102,-77.87609999999999
-6.49093,-77.87502000000001
-6.113,-78.06189999999999
-6.03222,-78.13556
-6.04565,-78.15058999999999
-6.01735,-78.14724
-12.14958,-76.94968
-6.1151,-78.06140000000001
-6.02295,-78.14021
-6.03973,-78.16134
-6.0033,-78.1516
-6.57116,-77.86530999999999
-6.55025,-77.88055
-6.60735,-77.84875
-6.56572,-77.8753
-6.47999,-77.92207999999999
-6.54053,-77.86998
-6.55966,-77.82958000000001
-6.51105,-77.89100999999999
-6.50982,-77.91789
-6.51024,-77.91806
-6.57749,-77.86167
-6.55209,-77.8792
-6.60698,-77.84989
-6.56572,-77.8753
-6.62851,-77.9785
-6.54426,-77.87067999999999
-6.48173,-77.92062
-12.0178,-77.07261
-6.53617,-77.88522
-6.50235,-77.92673000000001
-6.58542,-77.86964999999999
-6.57834,-77.86219
-6.5597,-77.83029999999999
-6.55216,-77.87853
-6.37365,-77.90997
-6.35439,-77.94385
-6.42291,-77.87551000000001
-6.42284,-77.91081
-6.45525,-77.89
-6.37343,-77.90967999999999
-6.147,-78.0136
-6.1565,-77.9807
-6.1461,-78.00369999999999
-6.14592,-78.01074
-6.3969,-77.48099999999999
-6.4125,-77.4515
-6.3936,-77.4918
-6.3939,-77.48439
-6.4129,-77.45189999999999
-6.4289,-77.42789999999999
-12.02987,-77.05831000000001
-6.3936,-77.48739999999999
-6.3972,-77.4808
-11.96022,-77.07617999999999
-6.3935,-77.48721999999999
-6.39591,-77.48220000000001
-6.51962,-77.4465
-6.51986,-77.44663
-6.5319,-77.411
-6.5677,-77.3785
-6.5773,-77.39491
-6.6643,-77.3425
-6.73926,-77.30463
-6.64359,-77.33613
-6.6311,-77.37739999999999
-6.40832,-77.57796
-6.4094,-77.57689999999999
-6.4076,-77.5856
-6.4298,-77.539
-6.433,-77.50749999999999
-6.4352,-77.5241
-6.45223,-77.52372
-6.44563,-77.53385
