id_eess,codigo_renaes,categoria,nombre,diresa,red,direccion,longitud,latitud,id_ubigeo,CCDD,NOMBDEP,CCPP,NOMBPROV,CCDI,NOMBDIST,CAPITAL,UBIGEO,DESCRIPCIO,Centroid_Latitude,Centroid_Longitude,eu_dist
9252,4749,I-1,NUNGO,CAJAMARCA,CHOTA,OTROS COMUNIDAD NUNGO COMUNIDAD NUNGO TACABAMBA CHOTA CAJAMARCA,-78.54632,-6.39887,607,6,CAJAMARCA,4,CHOTA,17,TACABAMBA,TACABAMBA,60417,TACABAMBA,-6.398356573617845,-78.5557038806839,0.009397915904047115
7594,4544,I-2,CATÁN - TANTARICA,CAJAMARCA,CONTUMAZA,JIRÓN JR. RESTAURACION S/N NÚMERO S/N DISTRITO TANTARICA PROVINCIA CONTUMAZA DEPARTAMENTO CAJAMARCA,-78.93257437,-7.2999141,616,6,CAJAMARCA,5,CONTUMAZA,7,TANTARICA,CATAN,60507,TANTARICA,-7.275309367839426,-78.94985074914202,0.030064366298865216
21966,4781,I-3,TOCMOCHE,CAJAMARCA,CHOTA,OTROS DISTRITO TOCMOCHE DISTRITO TOCMOCHE TOCMOCHE CHOTA CAJAMARCA,-79.36030984,-6.41197944,608,6,CAJAMARCA,4,CHOTA,18,TOCMOCHE,TOCMOCHE,60418,TOCMOCHE,-6.456833769681386,-79.37598617970025,0.04751482418744796
25096,4607,I-3,TONGOD,CAJAMARCA,SAN MIGUEL,OTROS URB. EL CARMEN S/N NÚMERO S/N DISTRITO TONGOD PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-78.82383,-6.76306,673,6,CAJAMARCA,11,SAN MIGUEL,12,TONGOD,TONGOD,61112,TONGOD,-6.788161271933613,-78.83354722256809,0.02691650547754812
15498,5019,I-3,LA SACILIA,CAJAMARCA,SOCOTA,OTROS DISTRITO LA SACILIA DISTRITO LA SACILIA TORIBIO CASANOVA CUTERVO CAJAMARCA,-78.697265,-6.001959,632,6,CAJAMARCA,6,CUTERVO,15,TORIBIO CASANOVA,LA SACILIA,60615,TORIBIO CASANOVA,-5.987986823734805,-78.69242406634012,0.014787033113002225
5766,4610,I-1,EL REGALADO,CAJAMARCA,SAN PABLO,OTROS COMUNIDAD EL REGALADO DISTRITO TUMBADEN PROVINCIA SAN PABLO DEPARTAMENTO CAJAMARCA,-78.67149,-6.95964,678,6,CAJAMARCA,12,SAN PABLO,4,TUMBADEN,TUMBADEN,61204,TUMBADEN,-6.987533031711155,-78.67619782431038,0.028287538383125456
16369,4543,I-1,LIVES,CAJAMARCA,SAN MIGUEL,JIRÓN JR. CHEPEN S/N NÚMERO S/N DISTRITO UNION AGUA BLANCA PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-79.0414859,-7.08044523,674,6,CAJAMARCA,11,SAN MIGUEL,13,UNION AGUA BLANCA,AGUA BLANCA,61113,UNION AGUA BLANCA,-7.118897786310705,-79.05419583150723,0.04049865980185624
22302,4468,I-1,UTCO LIMON,CAJAMARCA,CELENDIN,OTROS CASERIO UTCO S/N NÚMERO S/N DISTRITO UTCO PROVINCIA CELENDIN DEPARTAMENTO CAJAMARCA,-78.09005808,-6.87100658,589,6,CAJAMARCA,3,CELENDIN,11,UTCO,UTCO,60311,UTCO,-6.881324985969411,-78.05760981421811,0.03404936789430978
22920,4834,I-2,UTICYACU,CAJAMARCA,SANTA CRUZ,OTROS DISTRITO UTICYACU DISTRITO UTICYACU PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-78.79456398,-6.60602069,688,6,CAJAMARCA,13,SANTA CRUZ,10,UTICYACU,UTICYACU,61310,UTICYACU,-6.614700237533157,-78.79053750141917,0.009568023575550436
5353,4836,I-1,PUCHUDEN,CAJAMARCA,SANTA CRUZ,OTROS COMUNIDAD PUCHUDEN COMUNIDAD PUCHUDEN YAUYUCAN SANTA CRUZ CAJAMARCA,-78.85784368,-6.69074851,689,6,CAJAMARCA,13,SANTA CRUZ,11,YAUYUCAN,YAUYUCAN,61311,YAUYUCAN,-6.682859653400819,-78.84943957704252,0.011526621576265834
27812,10274,I-2,POSTA MEDICA TEMBLADERA,CAJAMARCA,NO PERTENECE A NINGUNA RED,JIRÓN JR. CAJAMARCA Nº 211 DISTRITO YONAN PROVINCIA CONTUMAZA DEPARTAMENTO CAJAMARCA,-79.1325135,-7.2536261,617,6,CAJAMARCA,5,CONTUMAZA,8,YONAN,TEMBLADERA,60508,YONAN,-7.277622253053686,-79.16912177287334,0.0437719202702445
