,id_eess,codigo_renaes,categoria,nombre,diresa,red,direccion,longitud,latitud,id_ubigeo,ind,CCDD,NOMBDEP,CCPP,NOMBPROV,CCDI,NOMBDIST,CAPITAL,UBIGEO,IDPROV,CODIGO,CNT_CCPP,DESCRIPCIO,Centroid_Latitude,Centroid_Longitude,distancia,travel_time_best_guess,travel_time_pessimistic,travel_time_optimistic,travel_distance_best_guess,travel_distance_pessimistic,travel_distance_optimistic,travel_time_pesimistic,travel_distance_pesimistic
410,14321,4579,I-1,POLAN,CAJAMARCA,SAN PABLO,OTROS LOCALIDAD DE POLAN DISTRITO SAN BERNARDINO PROVINCIA SAN PABLO DEPARTAMENTO CAJAMARCA,-78.76941805,-7.15555602,676,1,6,CAJAMARCA,12,SAN PABLO,2,SAN BERNARDINO,SAN BERNARDINO,61202,612,61202,26,SAN BERNARDINO,-7.174980674339086,-78.78564955844057,2.805728293984192,6207.0,6207.0,6207.0,58525.0,58525.0,58525.0,,
472,5349,4585,I-1,SAN LUIS BAJO - GRANDE,CAJAMARCA,SAN PABLO,JIRÓN JR. LIMA S/N NÚMERO S/N DISTRITO SAN LUIS PROVINCIA SAN PABLO DEPARTAMENTO CAJAMARCA,-78.8690618,-7.1566476,677,1,6,CAJAMARCA,12,SAN PABLO,3,SAN LUIS,SAN LUIS GRANDE,61203,612,61203,9,SAN LUIS,-7.159045931055743,-78.8730841197766,0.5177416870407864,88.0,88.0,88.0,640.0,640.0,640.0,,
470,5766,4610,I-1,EL REGALADO,CAJAMARCA,SAN PABLO,OTROS COMUNIDAD EL REGALADO DISTRITO TUMBADEN PROVINCIA SAN PABLO DEPARTAMENTO CAJAMARCA,-78.67149,-6.95964,678,1,6,CAJAMARCA,12,SAN PABLO,4,TUMBADEN,TUMBADEN,61204,612,61204,21,TUMBADEN,-6.987533031711155,-78.67619782431038,3.144788528728926,330.0,330.0,330.0,3080.0,3080.0,3080.0,,
967,19454,4813,I-4,SANTA CRUZ,CAJAMARCA,SANTA CRUZ,AVENIDA AV. ZARUMILLA S/N NÚMERO S/N DISTRITO SANTA CRUZ PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-78.943336,-6.630679,679,1,6,CAJAMARCA,13,SANTA CRUZ,1,SANTA CRUZ,SANTA CRUZ DE SUCCHABAMBA,61301,613,61301,52,SANTA CRUZ,-6.627556466156622,-78.94191466046652,0.38105157538867884,309.0,309.0,309.0,1320.0,1320.0,1320.0,,
974,10078,4818,I-2,ANDABAMBA,CAJAMARCA,SANTA CRUZ,OTROS COMUNIDAD ANDABAMBA DISTRITO ANDABAMBA PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-78.81947,-6.66291,680,1,6,CAJAMARCA,13,SANTA CRUZ,2,ANDABAMBA,ANDABAMBA,61302,613,61302,11,ANDABAMBA,-6.664009037035801,-78.80972226391866,1.0834908688409515,1271.0,1271.0,1271.0,7430.0,7430.0,7430.0,,
936,19453,4777,I-1,MACUACO,CAJAMARCA,SANTA CRUZ,OTROS COMUNIDAD MACUACO DISTRITO CATACHE PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-79.04854,-6.75689,681,1,6,CAJAMARCA,13,SANTA CRUZ,3,CATACHE,CATACHE,61303,613,61303,80,CATACHE,-6.749358435052559,-79.07690654224525,3.2423542663860148,12705.0,12705.0,12705.0,85868.0,85868.0,85868.0,,
980,8900,4824,I-1,BAÑOS CHANCAY,CAJAMARCA,SANTA CRUZ,OTROS COMUNIDAD BAÑOS CHANCAY DISTRITO CHANCAYBAÑOS PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-78.88959899,-6.55025775,682,1,6,CAJAMARCA,13,SANTA CRUZ,4,CHANCAYBAÑOS,CHANCAYBAÑOS,61304,613,61304,34,CHANCAYBAÑOS,-6.555963298481807,-78.87793669351107,1.4360557428152916,887.0,887.0,887.0,5710.0,5710.0,5710.0,,
986,9451,4827,I-1,MIRAFLORES,CAJAMARCA,SANTA CRUZ,OTROS COMUNIDAD MIRAFLORES DISTRITO LA ESPERANZA PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-78.8365381,-6.60928969,683,1,6,CAJAMARCA,13,SANTA CRUZ,5,LA ESPERANZA,LA ESPERANZA,61305,613,61305,33,LA ESPERANZA,-6.62091640748167,-78.85937972057158,2.8349173699873407,2576.0,2576.0,2576.0,17254.0,17254.0,17254.0,,
977,15528,6841,I-1,ACHIRAMAYO,CAJAMARCA,SANTA CRUZ,OTROS COMUNIDAD ACHIRAMAYO DISTRITO NINABAMBA PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-78.76768,-6.67817,684,1,6,CAJAMARCA,13,SANTA CRUZ,6,NINABAMBA,NINABAMBA,61306,613,61306,15,NINABAMBA,-6.695731296328825,-78.76868982762464,1.955909122520054,8106.0,8106.0,8106.0,47634.0,47634.0,47634.0,,
988,24910,4830,I-3,PULAN,CAJAMARCA,SANTA CRUZ,OTROS GNRL. CABREJOS S/N NÚMERO S/N DISTRITO PULAN PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-78.92323,-6.73994,685,1,6,CAJAMARCA,13,SANTA CRUZ,7,PULAN,PULAN,61307,613,61307,31,PULAN,-6.746564193315141,-78.92116181232358,0.7711699845737254,1313.0,1313.0,1313.0,9238.0,9238.0,9238.0,,
993,18932,4833,I-2,SAUCEPAMPA,CAJAMARCA,SANTA CRUZ,OTROS CALL. 17 DE JULIO DISTRITO SAUCEPAMPA PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-78.916056,-6.69143542,686,1,6,CAJAMARCA,13,SANTA CRUZ,8,SAUCEPAMPA,SAUCEPAMPA,61308,613,61308,10,SAUCEPAMPA,-6.682860526811872,-78.9084686522991,1.2693572291057782,87.0,87.0,87.0,112.0,112.0,112.0,,
817,5471,4710,I-1,SEXI,CAJAMARCA,SANTA CRUZ,CALLE CALLE EL PROGRESO S/N NÚMERO S/N DISTRITO SEXI PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-79.05109564,-6.56318719,687,1,6,CAJAMARCA,13,SANTA CRUZ,9,SEXI,SEXI,61309,613,61309,35,SEXI,-6.585582547393862,-79.0363532251021,2.9754602918167863,10460.0,10460.0,10460.0,83726.0,83726.0,83726.0,,
995,22920,4834,I-2,UTICYACU,CAJAMARCA,SANTA CRUZ,OTROS DISTRITO UTICYACU DISTRITO UTICYACU PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-78.79456398,-6.60602069,688,1,6,CAJAMARCA,13,SANTA CRUZ,10,UTICYACU,UTICYACU,61310,613,61310,10,UTICYACU,-6.614700237533157,-78.79053750141917,1.062666524781999,3198.0,3198.0,3198.0,19671.0,19671.0,19671.0,,
999,5353,4836,I-1,PUCHUDEN,CAJAMARCA,SANTA CRUZ,OTROS COMUNIDAD PUCHUDEN COMUNIDAD PUCHUDEN YAUYUCAN SANTA CRUZ CAJAMARCA,-78.85784368,-6.69074851,689,1,6,CAJAMARCA,13,SANTA CRUZ,11,YAUYUCAN,YAUYUCAN,61311,613,61311,18,YAUYUCAN,-6.682859653400819,-78.84943957704252,1.27707441030723,330.0,330.0,330.0,2408.0,2408.0,2408.0,,
439,21617,4552,I-2,JAGUEY,CAJAMARCA,CONTUMAZA,AVENIDA AV. CAJAMARCA S/N NÚMERO S/N DISTRITO SAN BENITO PROVINCIA CONTUMAZA DEPARTAMENTO CAJAMARCA,-78.94018339,-7.61443072,614,1,13,LA LIBERTAD,11,GRAN CHIMU,1,CASCAS,CASCAS,131101,1311,131101,150,CASCAS,-7.501507538534319,-78.76394795430816,23.131003159964592,9186.0,,9186.0,102991.0,,102991.0,9186.0,102991.0
